publicIPAddress,publicIPID,ipConfigId,VMId
,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001a-vms-multi-nic-pip/providers/Microsoft.Network/publicIPAddresses/lxj4kkcswr-pip-01,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001a-vms-multi-nic-pip/providers/Microsoft.Network/networkInterfaces/lxj4kkcswrnic/ipConfigurations/ipconfig1,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001a-vms-multi-nic-pip/providers/Microsoft.Compute/virtualMachines/lxj4kkcswr
,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001a-vms-multi-nic-pip/providers/Microsoft.Network/publicIPAddresses/lxj4kkcswr-pip-02,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001a-vms-multi-nic-pip/providers/Microsoft.Network/networkInterfaces/lxj4kkcswrnic/ipConfigurations/ipconfig2,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001a-vms-multi-nic-pip/providers/Microsoft.Compute/virtualMachines/lxj4kkcswr
,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001a-vms-multi-nic-pip/providers/Microsoft.Network/publicIPAddresses/lxj4kkcswr-pip-03,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001a-vms-multi-nic-pip/providers/Microsoft.Network/networkInterfaces/lxj4kkcswrnic2/ipConfigurations/ipconfig1,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001a-vms-multi-nic-pip/providers/Microsoft.Compute/virtualMachines/lxj4kkcswr
