publicIPAddress,publicIPID,ipConfigId,VMId
172.173.253.51,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001b-vms-multi-nic-pip/providers/Microsoft.Network/publicIPAddresses/fiemychluv-pip-01,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001b-vms-multi-nic-pip/providers/Microsoft.Network/networkInterfaces/fiemychluvnic/ipConfigurations/ipconfig1,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001b-vms-multi-nic-pip/providers/Microsoft.Compute/virtualMachines/fiemychluv
13.92.45.67,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001b-vms-multi-nic-pip/providers/Microsoft.Network/publicIPAddresses/fiemychluv-pip-02,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001b-vms-multi-nic-pip/providers/Microsoft.Network/networkInterfaces/fiemychluvnic/ipConfigurations/ipconfig2,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001b-vms-multi-nic-pip/providers/Microsoft.Compute/virtualMachines/fiemychluv
172.173.250.54,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001b-vms-multi-nic-pip/providers/Microsoft.Network/publicIPAddresses/fiemychluv-pip-03,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001b-vms-multi-nic-pip/providers/Microsoft.Network/networkInterfaces/fiemychluvnic2/ipConfigurations/ipconfig1,/subscriptions/eceb0e8b-8e10-49b4-8796-0134df1c773d/resourceGroups/rg-001b-vms-multi-nic-pip/providers/Microsoft.Compute/virtualMachines/fiemychluv
